iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed
LBR,Africa,Liberia,2020-06-30,770.0,2.0,17.143,36.0,2.0,0.286
QAT,Asia,Qatar,2022-02-23,355397.0,365.0,421.429,664.0,2.0,0.857
LBR,Africa,Liberia,2021-11-29,5823.0,2.0,0.571,287.0,0.0,0.0
MEX,North America,Mexico,2021-08-06,2944226.0,21563.0,16397.571,243733.0,568.0,468.143
AND,Europe,Andorra,2021-03-08,11069.0,27.0,25.714,112.0,0.0,0.286
HTI,North America,Haiti,2022-03-24,30511.0,0.0,4.714,827.0,0.0,0.0
CIV,Africa,Cote d'Ivoire,2020-10-12,20155.0,1.0,38.571,120.0,0.0,0.0
AFG,Asia,Afghanistan,2021-06-23,107957.0,2208.0,2095.571,4366.0,73.0,97.571
MYS,Asia,Malaysia,2020-08-18,9219.0,7.0,16.571,125.0,0.0,0.0
ZWE,Africa,Zimbabwe,2021-08-02,110855.0,1309.0,1558.714,3635.0,52.0,66.0
MYS,Asia,Malaysia,2021-04-06,353329.0,1300.0,1330.143,1300.0,5.0,5.143
GIN,Africa,Guinea,2020-09-23,10434.0,47.0,40.0,65.0,0.0,0.286
GRD,North America,Grenada,2021-01-19,139.0,0.0,1.0,1.0,0.0,0.0
KGZ,Asia,Kyrgyzstan,2020-10-28,57276.0,538.0,545.286,1138.0,2.0,2.857
IRQ,Asia,Iraq,2021-02-23,675982.0,4181.0,3714.286,13311.0,16.0,17.0
GMB,Africa,Gambia,2021-05-16,5940.0,0.0,1.571,175.0,0.0,0.0
MRT,Africa,Mauritania,2022-03-30,58668.0,0.0,0.429,982.0,0.0,0.143
SYC,Africa,Seychelles,2021-08-13,18981.0,27.0,52.0,91.0,0.0,0.0
LBY,Africa,Libya,2020-05-12,64.0,0.0,0.143,3.0,0.0,0.0
SLE,Africa,Sierra Leone,2022-03-21,7674.0,0.0,0.857,125.0,0.0,0.0
BIH,Europe,Bosnia and Herzegovina,2021-10-28,252083.0,819.0,700.143,11477.0,27.0,27.714
CYM,North America,Cayman Islands,2021-06-21,609.0,1.0,2.286,2.0,0.0,0.0
TCA,North America,Turks and Caicos Islands,2021-05-29,2412.0,1.0,0.571,17.0,0.0,0.0
OMN,Asia,Oman,2021-04-02,160018.0,0.0,882.857,1681.0,0.0,4.429
IRN,Asia,Iran,2021-10-11,5716394.0,13504.0,11094.143,122868.0,276.0,217.286
LUX,Europe,Luxembourg,2021-10-08,79018.0,77.0,98.857,836.0,0.0,0.143
